Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
160,6.798,Accepted,,19,39.28,8,55,192,,0.288,,,,,,,,,,
395,1.133,Inspect,M,2,96.88,36,82,192,,0,,,,,,,,,,
408,1.899,Inspect,"MergeProblem, Spiky",3,100,20,68,192,,0,,,,,,,,,,
33,5.939,Inspect,H,18,8.01,3,51,192,,0,,,,,,,,,,
92,1.017,Rejected,I,1,22.5,16,62,192,,0,,,,,,,,,,
4,2.635,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",4,1.01,1,50,192,,0.053,,,,,,,,,,
10,2.745,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",5,2.42,2,50,192,,0.104,,,,,,,,,,
5,2.956,Rejected,"HeightProblem, AreaProblem, WidthProblem, InterferenceProblem",6,1.12,2,50,192,,0.049,,,,,,,,,,
20,3.082,Rejected,"HeightProblem, InterferenceProblem",7,4.93,4,53,192,,0,,,,,,,,,,
17,3.158,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",8,4.13,5,53,192,,0,,,,,,,,,,
19,3.232,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",9,4.54,4,53,192,,0,,,,,,,,,,
111,3.425,Rejected,I,10,27.29,8,57,192,,0.22,,,,,,,,,,
12,3.696,Rejected,"HeightProblem, InterferenceProblem",11,2.88,2,51,192,,0,,,,,,,,,,
6,3.805,Rejected,"HeightProblem, AreaProblem, WidthProblem, InterferenceProblem",12,1.48,2,50,192,,0.058,,,,,,,,,,
5,3.9,Rejected,"HeightProblem, AreaProblem, WidthProblem, InterferenceProblem",13,1.26,1,50,192,,0.061,,,,,,,,,,
9,4.744,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",14,2.11,2,50,192,,0.068,,,,,,,,,,
17,4.84,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",15,4.27,3,50,192,,0.101,,,,,,,,,,
107,5.361,Rejected,I,16,26.23,10,58,192,,0,,,,,,,,,,
31,5.576,Rejected,I,17,7.61,5,53,192,,0,,,,,,,,,,
