Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
12380,0.994,Accepted,,1,100,1692,1756,44,,0.1,,,,,,,,,,
1778,1.371,Rejected,I,2,14.36,143,210,44,,0,,,,,,,,,,
774,1.649,Rejected,I,3,6.25,71,141,44,,0,,,,,,,,,,
1956,2.181,Rejected,I,4,15.8,58,125,44,,0,,,,,,,,,,
254,2.638,Rejected,"HeightProblem, InterferenceProblem",5,2.05,27,106,44,,0,,,,,,,,,,
208,5.841,Rejected,"HeightProblem, InterferenceProblem",6,1.68,23,116,44,,0,,,,,,,,,,
293,5.942,Rejected,"HeightProblem, InterferenceProblem",7,2.37,26,120,44,,0,,,,,,,,,,
135,6.124,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",8,1.09,28,126,44,,0,,,,,,,,,,
398,6.223,Rejected,"HeightProblem, InterferenceProblem",9,3.22,39,132,44,,0,,,,,,,,,,
358,6.44,Rejected,I,10,2.89,41,135,44,,0,,,,,,,,,,
3920,6.688,Rejected,I,11,31.66,245,331,44,,0.255,,,,,,,,,,
906,7.028,Rejected,I,12,7.31,126,219,44,,0,,,,,,,,,,
1743,7.196,Rejected,I,13,14.08,155,245,44,,0,,,,,,,,,,
2635,7.323,Rejected,I,14,21.28,145,229,44,,0,,,,,,,,,,
