Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
134,1.222,Accepted,,2,100,16,63,160,,0.136,,,,,,,,,,
56,0.798,Accepted,,1,41.53,15,62,160,,0.059,,,,,,,,,,
76,6.409,Inspect,M,10,57.07,21,71,160,,0.056,,,,,,,,,,
7,5.742,Rejected,"HeightProblem, AreaProblem, WidthProblem, InterferenceProblem",3,5.41,3,53,160,,0.05,,,,,,,,,,
9,5.827,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",4,7.01,3,53,160,,0,,,,,,,,,,
8,5.901,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",5,6.04,3,53,160,,0,,,,,,,,,,
9,5.979,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",6,7.04,2,53,160,,0,,,,,,,,,,
11,6.046,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",7,8.01,3,54,160,,0,,,,,,,,,,
37,6.204,Rejected,"HeightProblem, InterferenceProblem",8,27.36,6,56,160,,0,,,,,,,,,,
24,6.273,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",9,17.89,5,55,160,,0,,,,,,,,,,
41,6.612,Rejected,"HeightProblem, InterferenceProblem",11,30.69,4,55,160,,0,,,,,,,,,,
18,6.725,Rejected,"HeightProblem, InterferenceProblem",12,13.37,4,54,160,,0,,,,,,,,,,
7,6.81,Rejected,"HeightProblem, AreaProblem, WidthProblem, InterferenceProblem",13,4.97,2,53,160,,0,,,,,,,,,,
5,6.952,Rejected,"HeightProblem, AreaProblem, WidthProblem, InterferenceProblem",14,3.81,2,52,160,,0.051,,,,,,,,,,
3,7.233,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",15,2.4,1,51,160,,0,,,,,,,,,,
45,7.511,Rejected,"WidthProblem, SeriousProblem",16,33.42,15,66,160,,0.048,,,,,,,,,,
4,8.182,Rejected,"HeightProblem, AreaProblem, WidthProblem, InterferenceProblem",17,2.64,1,51,160,,0.041,,,,,,,,,,
4,8.554,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",18,3.01,1,52,160,,0,,,,,,,,,,
8,8.649,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",19,5.67,2,53,160,,0.056,,,,,,,,,,
11,8.879,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",20,8.29,2,53,160,,0,,,,,,,,,,
2,9.012,Rejected,"HeightProblem, AreaProblem, WidthProblem, InterferenceProblem",21,1.52,1,52,160,,0,,,,,,,,,,
27,9.34,Rejected,"HeightProblem, AreaProblem, InterferenceProblem",22,20.08,3,54,160,,0,,,,,,,,,,
