Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
106,5.398,Accepted,,11,40.39,9,55,192,,0,,,,,,,,,,
85,4.855,Accepted,,10,32.47,7,53,192,,0.21,,,,,,,,,,
48,0.987,Inspect,M,1,18.23,9,55,192,,0.083,,,,,,,,,,
263,1.58,Inspect,M,4,100,25,71,192,,0,,,,,,,,,,
107,1.74,Inspect,M,5,40.58,27,73,192,,0,,,,,,,,,,
24,3.658,Inspect,"HeightProblem, MergeProblem",9,8.97,4,51,192,,0,,,,,,,,,,
21,5.938,Inspect,H,12,7.98,3,49,192,,0.095,,,,,,,,,,
18,1.104,Rejected,"WidthProblem, InterferenceProblem",2,6.82,5,51,192,,0,,,,,,,,,,
26,1.236,Rejected,"HeightProblem, InterferenceProblem",3,9.82,4,50,192,,0,,,,,,,,,,
76,3.186,Rejected,I,6,28.94,7,53,192,,0,,,,,,,,,,
19,3.477,Rejected,"HeightProblem, InterferenceProblem",7,7.24,3,50,192,,0,,,,,,,,,,
15,3.559,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",8,5.62,4,50,192,,0,,,,,,,,,,
