Area,Center X,Status,Error,Peak,Area %,Height,Max Y,Base Peak,Type,Width,SNR,Capacity Factor,Name,Cpd,Plates,PlatesPerMeter,Resolution,TailingFactor,FWHM,Notes
43,0.968,Inspect,M,1,10.59,9,56,160,,0,,,,,,,,,,
406,1.197,Inspect,M,2,100,26,74,160,,0.227,,,,,,,,,,
385,2.818,Inspect,M,7,94.89,49,98,160,,0.132,,,,,,,,,,
56,1.702,Rejected,I,3,13.72,8,55,160,,0,,,,,,,,,,
23,1.816,Rejected,"WidthProblem, InterferenceProblem",4,5.67,5,52,160,,0,,,,,,,,,,
18,2.008,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",5,4.37,4,50,160,,0,,,,,,,,,,
63,2.212,Rejected,"HeightProblem, InterferenceProblem",6,15.51,5,52,160,,0,,,,,,,,,,
145,3.01,Rejected,I,8,35.77,23,73,160,,0,,,,,,,,,,
12,3.124,Rejected,"HeightProblem, WidthProblem, InterferenceProblem",9,2.92,3,54,160,,0,,,,,,,,,,
63,5.176,Rejected,"WidthProblem, Spiky, SeriousProblem",10,15.43,20,66,160,,0,,,,,,,,,,
